date,hour,symbol,underlying,type,strike,open,high,low,close,volume_contracts,volume_usdt,best_bid_price,best_ask_price,best_bid_qty,best_ask_qty,best_buy_iv,best_sell_iv,mark_price,mark_iv,delta,gamma,vega,theta,openinterest_contracts,openinterest_usdt,timestamp
2023-07-02,21,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,6105.0,2.25,2.05,,0.48602581,5608.0,0.44427574,-0.42523685,2.901e-05,119.16994702,-7.32455351,0.0,0.0,2023-07-02 21:00:00+00:00
2023-07-02,22,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,5975.0,2.25,4.61,,0.47842145,5543.0,0.44219613,-0.4229534,2.903e-05,119.39901794,-7.30512377,0.0,0.0,2023-07-02 22:00:00+00:00
2023-07-02,23,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,5975.0,2.25,4.61,,0.47727942,5543.0,0.44103473,-0.42418481,2.915e-05,119.33455079,-7.28281241,0.0,0.0,2023-07-02 23:00:00+00:00
2023-07-03,0,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5035.0,5975.0,2.45,4.61,,0.47793627,5505.0,0.43856978,-0.42420672,2.93e-05,119.39867326,-7.24686638,0.0,0.0,2023-07-03 00:00:00+00:00
2023-07-03,1,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,5035.0,5975.0,2.45,4.61,,0.47886252,5505.0,0.43950856,-0.42325474,2.92e-05,119.4362148,-7.2654999,0.0,0.0,2023-07-03 01:00:00+00:00
2023-07-03,2,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,4965.0,5975.0,5.6,4.61,,0.48211455,5471.0,0.43989569,-0.42047301,2.905e-05,119.62318912,-7.28412369,0.0,0.0,2023-07-03 02:00:00+00:00
2023-07-03,3,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,4965.0,5975.0,5.6,4.61,,0.4822576,5471.0,0.44003814,-0.42035195,2.904e-05,119.6217634,-7.2872361,0.0,0.0,2023-07-03 03:00:00+00:00
2023-07-03,4,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,4965.0,5975.0,5.6,4.61,,0.47955036,5471.0,0.43728173,-0.42324552,2.934e-05,119.4825861,-7.23399793,0.0,0.0,2023-07-03 04:00:00+00:00
2023-07-03,5,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,4965.0,5975.0,5.6,4.61,,0.47941804,5471.0,0.43714404,-0.42341573,2.936e-05,119.46782623,-7.2316612,0.0,0.0,2023-07-03 05:00:00+00:00
2023-07-03,6,BTC-240628-31000-P,BTCUSDT,P,240628-31000,0.0,0.0,0.0,0.0,0.0,0.0,4860.0,5975.0,3.54,4.61,,0.47857046,5418.0,0.431903,-0.42530321,2.977e-05,119.47303346,-7.14609493,0.0,0.0,2023-07-03 06:00:00+00:00
